Name,Type,Forward_MACs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/backbone/stages.3/op_list.3/context_module/main/MatMul_1,MatMul,2737152,0.04%,684288,0.07%,0,0.00%,1x32x33x32,1x32x33x81
/backbone/stages.3/op_list.3/context_module/main/Slice_4,Slice,0,0.00%,663552,0.06%,0,0.00%,1x32x33x81,1x32x32x81
/backbone/stages.3/op_list.3/context_module/main/Slice_5,Slice,0,0.00%,20736,0.00%,0,0.00%,1x32x33x81,1x32x1x81
/backbone/stages.3/op_list.3/context_module/main/Add,Add,2592,0.00%,20736,0.00%,0,0.00%,1x32x1x81,1x32x1x81
/backbone/stages.3/op_list.3/context_module/main/Div,Div,331776,0.01%,663552,0.06%,0,0.00%,1x32x32x81,1x32x32x81
/backbone/stages.3/op_list.3/context_module/main/Concat_3,Concat,0,0.00%,32,0.00%,0,0.00%,1,4
/backbone/stages.3/op_list.3/context_module/main/Reshape_3,Reshape,0,0.00%,663552,0.06%,0,0.00%,1x32x32x81,1x1024x9x9
/backbone/stages.3/op_list.3/context_module/main/proj/conv/Conv,Conv,42508800,0.64%,2430976,0.23%,524800,1.08%,1x1024x9x9,1x512x9x9
/backbone/stages.3/op_list.3/context_module/Add,Add,41472,0.00%,331776,0.03%,0,0.00%,1x512x9x9,1x512x9x9
/backbone/stages.3/op_list.3/local_module/main/inverted_conv/conv/Conv,Conv,85100544,1.29%,5529600,0.53%,1050624,2.16%,1x512x9x9,1x2048x9x9
/backbone/stages.3/op_list.3/local_module/main/inverted_conv/act/Relu,Relu,165888,0.00%,1327104,0.13%,0,0.00%,1x2048x9x9,1x2048x9x9
/backbone/stages.3/op_list.3/local_module/main/depth_conv/conv/Conv,Conv,1658880,0.03%,1409024,0.14%,20480,0.04%,1x2048x9x9,1x2048x9x9
/backbone/stages.3/op_list.3/local_module/main/depth_conv/act/Relu,Relu,165888,0.00%,1327104,0.13%,0,0.00%,1x2048x9x9,1x2048x9x9
/backbone/stages.3/op_list.3/local_module/main/point_conv/conv/Conv,Conv,84976128,1.29%,4528128,0.44%,1049088,2.16%,1x2048x9x9,1x512x9x9
/backbone/stages.3/op_list.3/local_module/Add,Add,41472,0.00%,331776,0.03%,0,0.00%,1x512x9x9,1x512x9x9
/backbone/stages.3/op_list.4/context_module/main/qkv/conv/Conv,Conv,63700992,0.96%,4141056,0.40%,786432,1.62%,1x512x9x9,1x1536x9x9
/backbone/stages.3/op_list.4/context_module/main/aggreg.0/aggreg.0.0/Conv,Conv,3110400,0.05%,1148928,0.11%,38400,0.08%,1x1536x9x9,1x1536x9x9
/backbone/stages.3/op_list.4/context_module/main/aggreg.0/aggreg.0.1/Conv,Conv,3981312,0.06%,1191936,0.11%,49152,0.10%,1x1536x9x9,1x1536x9x9
/backbone/stages.3/op_list.4/context_module/main/Concat,Concat,0,0.00%,1990656,0.19%,0,0.00%,1x1536x9x9,1x3072x9x9
/backbone/stages.3/op_list.4/context_module/main/Shape,Shape,0,0.00%,32,0.00%,0,0.00%,1x3072x9x9,4
